card_id,locale,voice_path,persona_id,voice_name,rate_pct,pitch_pct,gain_db,status,design_notes
卡牌ID,语言地区,语音路径,角色声线ID,系统语音名称,语速调整（%）,音高调整（%）,增益（分贝）,制作状态,设计备注
卡牌唯一ID,固定zh_cn,导出资源路径,固定角色声线,离线系统语音,生成语速百分比,生成音高百分比,单条增益,质量门禁状态,声线设计说明
mouse,zh_cn,res://assets/audio/voices/skills/zh_cn/mouse.wav,tiny_swarm,huihui,18,10,0,prototype_generated,小型群居短促轻快
ant,zh_cn,res://assets/audio/voices/skills/zh_cn/ant.wav,tiny_swarm,huihui,18,9,0,pending_review,小型群居节奏明确
sparrow,zh_cn,,bright_bird,yaoyao,16,10,0,silent_no_player_skill,技能描述为空，仅显示远程分类，不朗读
frog,zh_cn,,playful_control,yaoyao,3,-1,0,silent_no_player_skill,技能描述为空且按近战显示
rabbit,zh_cn,,warm_support,huihui,-2,1,0,silent_no_player_skill,技能描述为空且按近战显示
chicken,zh_cn,res://assets/audio/voices/skills/zh_cn/chicken.wav,tiny_swarm,huihui,14,7,0,pending_review,家禽声线活泼短促
pigeon,zh_cn,,bright_bird,yaoyao,12,8,0,silent_no_player_skill,技能描述为空，仅显示远程分类，不朗读
hamster,zh_cn,res://assets/audio/voices/skills/zh_cn/hamster.wav,warm_support,huihui,8,6,0,pending_review,小型辅助亲切
snail,zh_cn,,sturdy_guard,kangkang,-12,-8,0,silent_no_player_skill,技能描述为空且按近战显示
tadpole,zh_cn,res://assets/audio/voices/skills/zh_cn/tadpole.wav,playful_control,yaoyao,10,5,0,prototype_generated,两栖幼体俏皮轻快
cat,zh_cn,res://assets/audio/voices/skills/zh_cn/cat.wav,clever_scout,huihui,10,4,0,pending_review,机敏克制
dog,zh_cn,res://assets/audio/voices/skills/zh_cn/dog.wav,sturdy_guard,kangkang,-3,-3,0,pending_review,可靠守卫
duck,zh_cn,,playful_control,yaoyao,8,5,0,silent_no_player_skill,技能描述为空，仅显示远程分类，不朗读
squirrel,zh_cn,res://assets/audio/voices/skills/zh_cn/squirrel.wav,clever_scout,huihui,14,7,0,pending_review,机敏经济型
hedgehog,zh_cn,res://assets/audio/voices/skills/zh_cn/hedgehog.wav,sturdy_guard,kangkang,-5,-4,0,pending_review,谨慎坚硬
turtle,zh_cn,res://assets/audio/voices/skills/zh_cn/turtle.wav,sturdy_guard,kangkang,-12,-8,0,pending_review,缓慢沉稳
goat,zh_cn,res://assets/audio/voices/skills/zh_cn/goat.wav,warm_support,huihui,-4,-1,0,prototype_generated,温和辅助
sheep,zh_cn,res://assets/audio/voices/skills/zh_cn/sheep.wav,warm_support,huihui,-5,0,0,pending_review,柔和群体辅助
parrot,zh_cn,res://assets/audio/voices/skills/zh_cn/parrot.wav,bright_bird,yaoyao,18,11,0,prototype_generated,鹦鹉明亮快速
fox,zh_cn,res://assets/audio/voices/skills/zh_cn/fox.wav,clever_scout,huihui,9,3,0,pending_review,狡黠清晰
monkey,zh_cn,res://assets/audio/voices/skills/zh_cn/monkey.wav,primate_trickster,huihui,13,3,0,pending_review,灵长类戏谑
pig,zh_cn,res://assets/audio/voices/skills/zh_cn/pig.wav,sturdy_guard,kangkang,-2,-4,0,pending_review,厚实直白
deer,zh_cn,res://assets/audio/voices/skills/zh_cn/deer.wav,agile_striker,yaoyao,7,3,0,pending_review,轻盈迅捷
beaver,zh_cn,res://assets/audio/voices/skills/zh_cn/beaver.wav,sturdy_guard,kangkang,-2,-2,0,pending_review,工程型可靠
otter,zh_cn,res://assets/audio/voices/skills/zh_cn/otter.wav,aquatic_calm,huihui,5,2,0,pending_review,水生轻快
