id,name_key,role,rarity,species,max_hp,move_speed,attack_range,base_damage,attack_cooldown_sec,skill_id,shop_cost,unlock_stage,tags,design_notes
hero_guardian,unit_guardian_name,hero,common,human,180,3.2,1.5,18,1.4,skill_guardian_slam,0,stage_tutorial_01,frontline|melee|tank,新手前排模板，血量稳定，技能负责击退和保护后排
hero_ranger,unit_ranger_name,hero,rare,human,110,3.8,5.0,14,1.2,skill_ranger_shot,0,stage_field_01,ranged|single_target|kite,远程英雄模板，移动略快，负责持续点杀
enemy_grunt,enemy_grunt_name,enemy,common,human,70,2.8,1.1,8,1.6,skill_grunt_claw,0,,melee|swarm,基础近战敌人，用于校验低压群怪节奏
enemy_brute,enemy_brute_name,enemy,rare,human,220,2.2,1.4,20,2.0,skill_brute_charge,0,,elite|melee|charge,精英近战敌人，慢速高血并带冲撞压迫
unit_beast_swift_fox,unit_beast_swift_fox_name,summon,common,beast,85,5.0,1.1,10,0.9,skill_quick_bite,2,stage_tutorial_01,fast|melee|flanker,野兽低费快跑单位，用速度绕后但身板较脆
unit_beast_alpha_wolf,unit_beast_alpha_wolf_name,summon,rare,beast,135,4.2,1.2,18,1.1,skill_alpha_howl,4,stage_field_01,aura|melee|pack,野兽稀有核心，给附近同族加攻速，适合成组出现
unit_beast_thunder_bear,unit_beast_thunder_bear_name,summon,epic,beast,360,2.4,1.5,34,1.8,skill_thunder_maul,6,stage_field_01,tank|stun|high_hp,史诗野兽，高血高伤，重击带短眩晕
unit_fiend_imp_runner,unit_fiend_imp_runner_name,summon,common,fiend,70,4.7,1.2,13,1.0,skill_scorch_claw,2,stage_tutorial_01,fast|fragile|burn,邪裔低费突进，速度快并带微弱灼烧
unit_fiend_pact_bruiser,unit_fiend_pact_bruiser_name,summon,rare,fiend,165,3.3,1.4,27,1.4,skill_blood_pact,4,stage_field_01,high_attack|lifesteal|risk,邪裔高攻单位，吸血换生存，适合反推高风险高收益
unit_fiend_rift_lord,unit_fiend_rift_lord_name,summon,legendary,fiend,430,2.7,2.0,48,1.9,skill_rift_overlord,8,stage_field_01,legendary|summon|burst,传说邪裔，周期召唤小怪并爆发压场
unit_dragonkin_spark_whelp,unit_dragonkin_spark_whelp_name,summon,common,dragonkin,120,3.3,3.8,15,1.3,skill_ember_spit,3,stage_tutorial_01,ranged|splash,龙裔低费远程，射程中等，带轻微溅射
unit_dragonkin_sky_drake,unit_dragonkin_sky_drake_name,summon,epic,dragonkin,260,3.5,4.5,30,1.5,skill_flame_fan,6,stage_field_01,ranged|cone|aoe,史诗龙裔，扇形火焰清群，站位价值高
unit_dragonkin_ancient_wyrm,unit_dragonkin_ancient_wyrm_name,summon,legendary,dragonkin,520,2.6,5.2,42,2.0,skill_meteor_breath,9,stage_field_01,legendary|ranged|aoe,传说龙裔，超远程大范围爆发，费用最高
unit_elemental_spark,unit_elemental_spark_name,summon,common,elemental,90,3.9,4.2,12,0.95,skill_spark_arc,2,stage_tutorial_01,ranged|chain,元素低费远程，攻速快，弹射伤害低
